id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
3d37b566-af7a-4d6d-ad8f-6465bea39265-123,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364106626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
3d37b566-af7a-4d6d-ad8f-6465bea39265-123,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364106626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
3d37b566-af7a-4d6d-ad8f-6465bea39265-123,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364106626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2620c2bc-0433-4369-966c-ba8d218995e7-549,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364105426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2620c2bc-0433-4369-966c-ba8d218995e7-549,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364105426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
ca4b2346-b43e-4a1a-892b-c5e182ea0146-18,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364101826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
ca4b2346-b43e-4a1a-892b-c5e182ea0146-18,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364101826,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,3,2,2,com.android.packageinstaller.InstallAppProgress,com.android.packageinstaller
ca4b2346-b43e-4a1a-892b-c5e182ea0146-18,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364101826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
ca4b2346-b43e-4a1a-892b-c5e182ea0146-68,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364103026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
ca4b2346-b43e-4a1a-892b-c5e182ea0146-68,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364103026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
42d1e29e-6e95-43ef-9015-c4d9fde89a5f-18,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364104226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
42d1e29e-6e95-43ef-9015-c4d9fde89a5f-18,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364104226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
e389240e-b7aa-4b4c-a90a-0f1f87ebfc1e-235,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364107826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
e389240e-b7aa-4b4c-a90a-0f1f87ebfc1e-235,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364107826,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
e389240e-b7aa-4b4c-a90a-0f1f87ebfc1e-235,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364107826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
cc2eb17d-fde1-435d-be6e-c921f004c1b5-50,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364109026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
cc2eb17d-fde1-435d-be6e-c921f004c1b5-50,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364109026,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
cc2eb17d-fde1-435d-be6e-c921f004c1b5-50,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364109026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364110226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364110226,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364110226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-76,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364111426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-76,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364111426,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
2359e0bc-a82c-4230-9adf-1a8e6dd6291e-76,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364111426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
4cd42b3c-615d-4a76-bb6f-baaad5e98720-46,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364112626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
4cd42b3c-615d-4a76-bb6f-baaad5e98720-46,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364112626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
4cd42b3c-615d-4a76-bb6f-baaad5e98720-46,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364112626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2521c53c-41a9-4a4d-a51b-af3f76f9c724-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364113826,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2521c53c-41a9-4a4d-a51b-af3f76f9c724-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364113826,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
2521c53c-41a9-4a4d-a51b-af3f76f9c724-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364113826,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
2521c53c-41a9-4a4d-a51b-af3f76f9c724-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364115026,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
2521c53c-41a9-4a4d-a51b-af3f76f9c724-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364115026,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
2521c53c-41a9-4a4d-a51b-af3f76f9c724-64,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364115026,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
9f8c9735-1b88-43b3-aa5f-6ed55ebf9287-44,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364116226,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
9f8c9735-1b88-43b3-aa5f-6ed55ebf9287-44,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364116226,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
9f8c9735-1b88-43b3-aa5f-6ed55ebf9287-44,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364116226,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
99616961-26b3-470c-8be6-955fdfab4e23-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364117426,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
99616961-26b3-470c-8be6-955fdfab4e23-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364117426,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
99616961-26b3-470c-8be6-955fdfab4e23-17,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364117426,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
99616961-26b3-470c-8be6-955fdfab4e23-66,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364118626,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
99616961-26b3-470c-8be6-955fdfab4e23-66,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364118626,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco,11,1,1,com.google.android.apps.paco.ExperimentManagerActivity,com.google.android.apps.paco
99616961-26b3-470c-8be6-955fdfab4e23-66,dabe32a5-8e08-44d2-8617-81b0b46bf92e,1364118626,org.bewellapp.dashBoardActivity,org.bewellapp,6,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
